train,BalanceBeam,v_BalanceBeam_g12_c02,10
train,BalanceBeam,v_BalanceBeam_g25_c04,14
train,BalanceBeam,v_BalanceBeam_g12_c03,22
train,BalanceBeam,v_BalanceBeam_g24_c01,12
train,BalanceBeam,v_BalanceBeam_g24_c03,14
train,BalanceBeam,v_BalanceBeam_g12_c01,11
train,BalanceBeam,v_BalanceBeam_g13_c04,10
train,BalanceBeam,v_BalanceBeam_g13_c05,15
train,BalanceBeam,v_BalanceBeam_g24_c02,13
train,BalanceBeam,v_BalanceBeam_g12_c04,13
train,BalanceBeam,v_BalanceBeam_g13_c01,18
train,BalanceBeam,v_BalanceBeam_g25_c03,13
train,BalanceBeam,v_BalanceBeam_g25_c02,15
train,BalanceBeam,v_BalanceBeam_g13_c02,17
train,BalanceBeam,v_BalanceBeam_g25_c01,11
train,BalanceBeam,v_BalanceBeam_g13_c03,18
train,BalanceBeam,v_BalanceBeam_g24_c04,12
train,BalanceBeam,v_BalanceBeam_g10_c04,16
train,BalanceBeam,v_BalanceBeam_g11_c01,15
train,BalanceBeam,v_BalanceBeam_g18_c02,19
train,BalanceBeam,v_BalanceBeam_g08_c02,17
train,BalanceBeam,v_BalanceBeam_g08_c03,17
train,BalanceBeam,v_BalanceBeam_g18_c03,23
train,BalanceBeam,v_BalanceBeam_g11_c02,10
train,BalanceBeam,v_BalanceBeam_g19_c04,17
train,BalanceBeam,v_BalanceBeam_g09_c04,26
train,BalanceBeam,v_BalanceBeam_g08_c01,19
train,BalanceBeam,v_BalanceBeam_g18_c01,17
train,BalanceBeam,v_BalanceBeam_g11_c03,17
train,BalanceBeam,v_BalanceBeam_g10_c02,10
train,BalanceBeam,v_BalanceBeam_g19_c01,20
train,BalanceBeam,v_BalanceBeam_g09_c01,14
train,BalanceBeam,v_BalanceBeam_g08_c04,16
train,BalanceBeam,v_BalanceBeam_g18_c04,15
train,BalanceBeam,v_BalanceBeam_g10_c03,14
train,BalanceBeam,v_BalanceBeam_g10_c01,11
train,BalanceBeam,v_BalanceBeam_g11_c04,16
train,BalanceBeam,v_BalanceBeam_g09_c02,11
train,BalanceBeam,v_BalanceBeam_g19_c02,13
train,BalanceBeam,v_BalanceBeam_g19_c03,16
